Index  OmegaX[°/s]  OmegaY[°/s]  OmegaZ[°/s]  fX[m/s/s]  fY[m/s/s]  fZ[m/s/s]  Temperature[°C]  Roll[°]  Pitch[°]  Heading[°]  
2  -0.180250  -0.384092  -0.565476  0.094799  0.021087  9.742098  0.00  0.000  0.000  0.000  
3  -0.195487  -0.353273  -0.588007  0.087000  0.020099  9.717394  32.14  0.000  0.000  0.000  
4  -0.211324  -0.394309  -0.436352  0.112875  0.018635  9.717249  32.14  0.000  0.000  0.000  
5  -0.226746  -0.330361  -0.594398  0.085974  0.019170  9.731208  32.14  0.000  0.000  0.000  
6  -0.256312  -0.322413  -0.633059  0.094639  0.003514  9.729002  32.14  0.000  0.000  0.000  
7  -0.270471  -0.438428  -0.566465  0.092911  0.007444  9.714873  32.14  0.000  0.000  0.000  
8  -0.240465  -0.400825  -0.520795  0.084641  0.025549  9.719987  32.15  0.000  0.000  0.000  
9  -0.247926  -0.430420  -0.573749  0.089344  0.010494  9.747766  32.15  0.000  0.000  0.000  
10  -0.256138  -0.368353  -0.625746  0.085811  0.010645  9.722472  32.15  0.000  0.000  0.000  
11  -0.240843  -0.392129  -0.573117  0.095379  0.013125  9.732266  32.15  0.000  0.000  0.000  
12  -0.287244  -0.348052  -0.496573  0.088856  0.009512  9.727488  32.15  0.000  0.000  0.000  
13  -0.233508  -0.392595  -0.542642  0.088814  0.009213  9.711640  32.17  0.000  0.000  0.000  
14  -0.309233  -0.363493  -0.505064  0.094817  0.021064  9.740948  32.17  0.000  0.000  0.000  
15  -0.225770  -0.392840  -0.527748  0.087578  0.011191  9.720633  32.17  0.000  0.000  0.000  
16  -0.263679  -0.391886  -0.595637  0.088327  0.021080  9.738536  32.17  0.000  0.000  0.000  
17  -0.210381  -0.423110  -0.535573  0.086961  0.008429  9.732213  32.17  0.000  0.000  0.000  
18  -0.241463  -0.362088  -0.542173  0.097166  0.006377  9.724032  32.15  0.000  0.000  0.000  
19  -0.271268  -0.377846  -0.535292  0.089998  0.015727  9.740511  32.15  0.000  0.000  0.000  
20  -0.188131  -0.392026  -0.550026  0.087079  0.016722  9.728609  32.15  0.000  0.000  0.000  
21  -0.203195  -0.407147  -0.565244  0.098306  0.000092  9.739725  32.15  0.000  0.000  0.000  
22  -0.248577  -0.378064  -0.512592  0.090599  0.015883  9.717607  32.15  0.000  0.000  0.000  
23  -0.218138  -0.392781  -0.527808  0.104254  0.007925  9.746159  32.15  0.000  0.000  0.000  
24  -0.211478  -0.316423  -0.519099  0.094029  -0.000472  9.739032  32.15  0.000  0.000  0.000  
25  -0.158127  -0.346220  -0.534518  0.086919  0.005547  9.706229  32.15  0.000  0.000  0.000  
26  -0.217787  -0.430835  -0.535796  0.097772  0.014105  9.722178  32.15  0.000  0.000  0.000  
27  -0.196116  -0.345828  -0.572142  0.079970  0.022480  9.713463  32.15  0.000  0.000  0.000  
28  -0.248775  -0.377888  -0.519889  0.089939  0.005422  9.732772  32.16  0.000  0.000  0.000  
29  -0.173413  -0.368501  -0.572088  0.098453  0.012410  9.727850  32.16  0.000  0.000  0.000  
30  -0.225656  -0.400774  -0.512808  0.089330  0.008814  9.722200  32.16  0.000  0.000  0.000  
31  -0.219135  -0.323819  -0.534095  0.103907  0.024812  9.723054  32.16  0.000  0.000  0.000  
32  -0.226195  -0.346571  -0.549834  0.090051  0.020302  9.729826  32.16  0.000  0.000  0.000  
33  -0.211439  -0.346367  -0.549324  0.091386  0.025671  9.730285  32.15  0.000  0.000  0.000  
34  -0.225534  -0.384533  -0.565748  0.085111  0.010391  9.740001  32.15  0.000  0.000  0.000  
35  -0.180269  -0.422660  -0.542838  0.093099  0.021630  9.738544  32.15  0.000  0.000  0.000  
36  -0.233184  -0.392936  -0.527959  0.089400  0.016223  9.703428  32.15  0.000  0.000  0.000  
37  -0.211510  -0.354558  -0.519071  0.102586  0.006225  9.718943  32.15  0.000  0.000  0.000  
38  -0.135497  -0.368882  -0.534374  0.097185  0.009940  9.722871  32.17  0.000  0.000  0.000  
39  -0.210920  -0.370487  -0.489639  0.089407  0.015761  9.710558  32.17  0.000  0.000  0.000  
40  -0.210853  -0.407920  -0.527442  0.090594  0.006818  9.743771  32.17  0.000  0.000  0.000  
41  -0.172839  -0.399396  -0.557724  0.081720  0.020203  9.720295  32.17  0.000  0.000  0.000  
42  -0.203921  -0.338374  -0.564324  0.084754  0.018860  9.714180  32.17  0.000  0.000  0.000  
43  -0.165613  -0.352927  -0.587435  0.084544  0.006114  9.734863  32.16  0.000  0.000  0.000  
44  -0.166038  -0.338462  -0.541653  0.090026  0.011022  9.713146  32.16  0.000  0.000  0.000  
45  -0.225303  -0.453655  -0.543429  0.099551  0.007591  9.726227  32.16  0.000  0.000  0.000  
46  -0.195633  -0.383473  -0.602919  0.079716  -0.003064  9.720967  32.16  0.000  0.000  0.000  
47  -0.226543  -0.323342  -0.564480  0.093496  0.002455  9.735666  32.16  0.000  0.000  0.000  
48  -0.294374  -0.353813  -0.602724  0.105684  0.018615  9.712370  32.15  0.000  0.000  0.000  
49  -0.270886  -0.407990  -0.558400  0.089455  0.019479  9.717622  32.15  0.000  0.000  0.000  
50  -0.180045  -0.422123  -0.573283  0.087545  0.006515  9.726073  32.15  0.000  0.000  0.000  
