Index  OmegaX[°/s]  OmegaY[°/s]  OmegaZ[°/s]  fX[m/s/s]  fY[m/s/s]  fZ[m/s/s]  Temperature[°C]  Roll[°]  Pitch[°]  Heading[°]  
2  -0.233454  -0.337361  -0.571377  0.091404  -0.029044  9.727519  0.00  0.000  0.000  0.000  
3  -0.204300  -0.300860  -0.494950  0.097514  -0.014217  9.742792  0.00  0.000  0.000  0.000  
4  -0.264284  -0.401336  -0.503930  0.102785  -0.025300  9.743291  0.00  0.000  0.000  0.000  
5  -0.241181  -0.353349  -0.556400  0.102181  -0.026277  9.744849  33.18  0.000  0.000  0.000  
6  -0.256501  -0.338489  -0.541124  0.083677  -0.020935  9.764690  33.18  0.000  0.000  0.000  
7  -0.241923  -0.339356  -0.518233  0.085382  -0.030359  9.759010  33.18  0.000  0.000  0.000  
8  -0.195622  -0.329104  -0.578715  0.094910  -0.035124  9.757913  33.18  0.000  0.000  0.000  
9  -0.256372  -0.361088  -0.571643  0.094424  -0.023518  9.754730  33.18  0.000  0.000  0.000  
10  -0.241864  -0.338935  -0.540932  0.089049  -0.024309  9.733516  33.16  0.000  0.000  0.000  
11  -0.279687  -0.332398  -0.488069  0.098056  -0.018658  9.758133  33.16  0.000  0.000  0.000  
12  -0.189015  -0.314832  -0.570704  0.098646  -0.020689  9.743181  33.16  0.000  0.000  0.000  
13  -0.218452  -0.320486  -0.661855  0.098586  -0.027630  9.737380  33.16  0.000  0.000  0.000  
14  -0.218987  -0.307286  -0.555696  0.105667  -0.035585  9.759877  33.16  0.000  0.000  0.000  
15  -0.173146  -0.305684  -0.593450  0.081273  -0.024606  9.738347  33.16  0.000  0.000  0.000  
16  -0.143314  -0.353031  -0.548335  0.099804  -0.023411  9.757712  33.16  0.000  0.000  0.000  
17  -0.180716  -0.376358  -0.533713  0.105867  -0.016813  9.736358  33.16  0.000  0.000  0.000  
18  -0.211824  -0.293032  -0.502470  0.100933  -0.030039  9.763560  33.16  0.000  0.000  0.000  
19  -0.211024  -0.392443  -0.518853  0.093752  -0.031993  9.743071  33.16  0.000  0.000  0.000  
20  -0.158327  -0.329476  -0.570866  0.095026  -0.025255  9.729237  33.17  0.000  0.000  0.000  
21  -0.219346  -0.284620  -0.547796  0.100446  -0.018705  9.762363  33.17  0.000  0.000  0.000  
22  -0.242090  -0.308252  -0.540549  0.094355  -0.032176  9.733729  33.17  0.000  0.000  0.000  
23  -0.226897  -0.299929  -0.563111  0.093804  -0.025888  9.752707  33.17  0.000  0.000  0.000  
24  -0.234680  -0.315754  -0.563241  0.095584  -0.026824  9.756292  33.17  0.000  0.000  0.000  
25  -0.112293  -0.374660  -0.571350  0.102690  -0.032880  9.777599  33.18  0.000  0.000  0.000  
