Index  OmegaX[°/s]  OmegaY[°/s]  OmegaZ[°/s]  fX[m/s/s]  fY[m/s/s]  fZ[m/s/s]  Temperature[°C]  Roll[°]  Pitch[°]  Heading[°]  
102  -0.286085  -0.350781  -0.607429  0.093888  -0.010631  9.714440  32.77  0.000  0.000  0.000  
103  -0.196437  -0.305558  -0.522772  0.102328  -0.010920  9.735310  32.77  0.000  0.000  0.000  
104  -0.270917  -0.366189  -0.592350  0.092147  -0.006289  9.721952  32.77  0.000  0.000  0.000  
105  -0.264101  -0.313891  -0.523507  0.099241  -0.014707  9.722850  32.77  0.000  0.000  0.000  
106  -0.233706  -0.336084  -0.546211  0.092704  -0.012492  9.741742  32.77  0.000  0.000  0.000  
107  -0.294341  -0.297771  -0.583955  0.100533  -0.004471  9.727734  32.77  0.000  0.000  0.000  
108  -0.286332  -0.336633  -0.546784  0.115920  -0.017015  9.735889  32.77  0.000  0.000  0.000  
109  -0.217855  -0.404141  -0.577246  0.100548  -0.007206  9.741121  32.76  0.000  0.000  0.000  
110  -0.225803  -0.373061  -0.606953  0.098183  -0.008498  9.734851  32.76  0.000  0.000  0.000  
111  -0.263058  -0.412223  -0.577620  0.098662  -0.016523  9.721396  32.76  0.000  0.000  0.000  
112  -0.286672  -0.321033  -0.561442  0.084284  -0.017665  9.716522  32.76  0.000  0.000  0.000  
113  -0.225730  -0.374653  -0.524083  0.087328  -0.010820  9.732535  32.76  0.000  0.000  0.000  
114  -0.195710  -0.342526  -0.591560  0.093253  -0.018765  9.726311  32.77  0.000  0.000  0.000  
115  -0.256485  -0.327218  -0.621594  0.079601  -0.013186  9.729861  32.77  0.000  0.000  0.000  
116  -0.225700  -0.358540  -0.569367  0.089619  -0.019921  9.726369  32.77  0.000  0.000  0.000  
117  -0.195230  -0.365347  -0.599703  0.096238  -0.013242  9.735435  32.77  0.000  0.000  0.000  
118  -0.150205  -0.358527  -0.531232  0.097457  -0.012659  9.735393  32.77  0.000  0.000  0.000  
119  -0.264208  -0.305384  -0.568623  0.092094  -0.014451  9.732648  32.76  0.000  0.000  0.000  
120  -0.249255  -0.297154  -0.590979  0.101187  -0.004830  9.740783  32.76  0.000  0.000  0.000  
121  -0.225478  -0.413409  -0.494239  0.111234  -0.015541  9.716849  32.76  0.000  0.000  0.000  
122  -0.180468  -0.366150  -0.546408  0.100101  0.007000  9.702504  32.76  0.000  0.000  0.000  
123  -0.287059  -0.298085  -0.560955  0.108327  -0.009779  9.704166  32.76  0.000  0.000  0.000  
124  -0.226254  -0.327505  -0.591297  0.099312  -0.013184  9.740284  32.77  0.000  0.000  0.000  
125  -0.180805  -0.328528  -0.515812  0.101649  -0.014457  9.705857  32.77  0.000  0.000  0.000  
126  -0.188168  -0.389226  -0.538729  0.096341  -0.018367  9.717615  32.77  0.000  0.000  0.000  
127  -0.180855  -0.343201  -0.545921  0.089738  -0.014473  9.730286  32.77  0.000  0.000  0.000  
128  -0.249061  -0.312730  -0.576141  0.092120  -0.015503  9.708781  32.77  0.000  0.000  0.000  
129  -0.211154  -0.335706  -0.553507  0.101191  -0.004963  9.733765  32.77  0.000  0.000  0.000  
130  -0.180355  -0.405888  -0.463599  0.089696  -0.019154  9.704016  32.77  0.000  0.000  0.000  
131  -0.196373  -0.328166  -0.537941  0.102417  -0.007425  9.730715  32.77  0.000  0.000  0.000  
132  -0.294008  -0.313944  -0.539121  0.093224  -0.010964  9.727914  32.77  0.000  0.000  0.000  
133  -0.271307  -0.398647  -0.486290  0.093357  -0.015967  9.716564  32.77  0.000  0.000  0.000  
134  -0.301078  -0.421320  -0.517164  0.089203  -0.007860  9.732172  32.78  0.000  0.000  0.000  
135  -0.233585  -0.351648  -0.531283  0.095670  -0.016461  9.723075  32.78  0.000  0.000  0.000  
136  -0.264052  -0.389892  -0.538672  0.094061  -0.013459  9.723320  32.78  0.000  0.000  0.000  
137  -0.234245  -0.281881  -0.583238  0.092110  -0.015954  9.716477  32.78  0.000  0.000  0.000  
138  -0.226388  -0.321291  -0.515711  0.109444  -0.013314  9.738750  32.78  0.000  0.000  0.000  
139  -0.234125  -0.321046  -0.530604  0.107066  -0.019120  9.715018  32.77  0.000  0.000  0.000  
140  -0.241321  -0.359605  -0.516013  0.096324  -0.016590  9.716714  32.77  0.000  0.000  0.000  
141  -0.256639  -0.352949  -0.470574  0.093495  0.000226  9.719884  32.77  0.000  0.000  0.000  
142  -0.263921  -0.351056  -0.576533  0.093389  -0.010484  9.722142  32.77  0.000  0.000  0.000  
143  -0.219344  -0.283281  -0.499947  0.102338  -0.009433  9.719221  32.77  0.000  0.000  0.000  
144  -0.255975  -0.405737  -0.509121  0.090324  -0.015877  9.751068  32.77  0.000  0.000  0.000  
145  -0.142836  -0.365909  -0.538510  0.084968  -0.012507  9.736903  32.77  0.000  0.000  0.000  
146  -0.195646  -0.334909  -0.591638  0.102914  -0.005719  9.726226  32.77  0.000  0.000  0.000  
147  -0.195041  -0.419923  -0.539618  0.102223  -0.017281  9.746236  32.77  0.000  0.000  0.000  
148  -0.204043  -0.336709  -0.492586  0.096329  -0.019776  9.737797  32.77  0.000  0.000  0.000  
149  -0.279931  -0.320969  -0.552856  0.087483  -0.015206  9.722281  32.79  0.000  0.000  0.000  
150  -0.202698  -0.427319  -0.554613  0.093450  -0.002273  9.745498  32.79  0.000  0.000  0.000  
151  -0.203451  -0.359260  -0.515952  0.096866  -0.020058  9.723115  32.79  0.000  0.000  0.000  
152  -0.256181  -0.397931  -0.516405  0.101177  -0.011494  9.736013  32.79  0.000  0.000  0.000  
153  -0.210368  -0.405637  -0.494166  0.090392  -0.003835  9.724478  32.79  0.000  0.000  0.000  
154  -0.256460  -0.319881  -0.606539  0.094594  -0.005629  9.726655  32.77  0.000  0.000  0.000  
155  -0.248598  -0.350516  -0.599351  0.095142  -0.010288  9.733262  32.77  0.000  0.000  0.000  
156  -0.240782  -0.412229  -0.561947  0.085590  -0.017891  9.705552  32.77  0.000  0.000  0.000  
157  -0.218274  -0.350675  -0.576711  0.098783  -0.002161  9.722657  32.77  0.000  0.000  0.000  
158  -0.210717  -0.374205  -0.538975  0.102907  -0.011643  9.728966  32.77  0.000  0.000  0.000  
159  -0.316554  -0.382402  -0.562021  0.089740  -0.016316  9.727659  32.77  0.000  0.000  0.000  
160  -0.172511  -0.403279  -0.599673  0.091420  -0.025773  9.733851  32.77  0.000  0.000  0.000  
161  -0.195696  -0.381387  -0.553880  0.097585  -0.010313  9.733378  32.77  0.000  0.000  0.000  
162  -0.286360  -0.359368  -0.554297  0.101711  -0.009059  9.738487  32.77  0.000  0.000  0.000  
163  -0.188197  -0.343309  -0.546222  0.103524  -0.007116  9.715919  32.77  0.000  0.000  0.000  
164  -0.225993  -0.382094  -0.531302  0.086728  -0.019739  9.734593  32.77  0.000  0.000  0.000  
165  -0.302346  -0.313743  -0.545728  0.092762  -0.015494  9.741130  32.77  0.000  0.000  0.000  
166  -0.278894  -0.391230  -0.478742  0.103481  -0.018390  9.720098  32.77  0.000  0.000  0.000  
167  -0.256276  -0.351429  -0.553983  0.096347  -0.010600  9.717502  32.77  0.000  0.000  0.000  
168  -0.187597  -0.373490  -0.569599  0.099297  -0.005839  9.717909  32.77  0.000  0.000  0.000  
169  -0.172596  -0.411037  -0.592029  0.102339  -0.013292  9.736304  32.76  0.000  0.000  0.000  
170  -0.225772  -0.365151  -0.622074  0.098230  -0.003526  9.713526  32.76  0.000  0.000  0.000  
171  -0.249152  -0.351285  -0.553413  0.097612  -0.012652  9.736147  32.76  0.000  0.000  0.000  
172  -0.264393  -0.335865  -0.568402  0.098846  -0.009179  9.730941  32.76  0.000  0.000  0.000  
173  -0.188077  -0.380895  -0.576548  0.109444  -0.020496  9.738185  32.76  0.000  0.000  0.000  
174  -0.195929  -0.334288  -0.621453  0.101803  -0.007201  9.710684  32.78  0.000  0.000  0.000  
175  -0.248059  -0.404719  -0.562325  0.094043  0.000155  9.716333  32.78  0.000  0.000  0.000  
176  -0.264603  -0.345038  -0.485184  0.102332  -0.022617  9.717303  32.78  0.000  0.000  0.000  
177  -0.248882  -0.351474  -0.546207  0.105990  -0.005716  9.728150  32.78  0.000  0.000  0.000  
178  -0.188024  -0.381047  -0.569072  0.094569  -0.012348  9.718942  32.78  0.000  0.000  0.000  
179  -0.218706  -0.335204  -0.583713  0.111891  -0.014212  9.724339  32.78  0.000  0.000  0.000  
180  -0.212202  -0.274795  -0.537106  0.096470  -0.007302  9.734111  32.78  0.000  0.000  0.000  
181  -0.226014  -0.342227  -0.621767  0.104711  -0.013018  9.720443  32.78  0.000  0.000  0.000  
182  -0.271940  -0.297942  -0.560895  0.095171  -0.008084  9.723533  32.78  0.000  0.000  0.000  
183  -0.271880  -0.335948  -0.568522  0.091653  -0.011431  9.702947  32.78  0.000  0.000  0.000  
184  -0.180369  -0.397253  -0.516372  0.104851  0.002868  9.739080  32.79  0.000  0.000  0.000  
185  -0.233241  -0.420501  -0.524187  0.100594  -0.010397  9.730549  32.79  0.000  0.000  0.000  
186  -0.271451  -0.366819  -0.553979  0.104694  -0.018391  9.720733  32.79  0.000  0.000  0.000  
187  -0.165364  -0.389176  -0.531251  0.098758  -0.011704  9.723634  32.79  0.000  0.000  0.000  
188  -0.226373  -0.328347  -0.545899  0.093971  -0.009737  9.730233  32.79  0.000  0.000  0.000  
189  -0.188201  -0.388933  -0.553772  0.097640  -0.009378  9.719779  32.77  0.000  0.000  0.000  
190  -0.196530  -0.335911  -0.530207  0.101741  -0.022038  9.716026  32.77  0.000  0.000  0.000  
191  -0.263706  -0.373114  -0.622058  0.112435  -0.023130  9.726954  32.77  0.000  0.000  0.000  
192  -0.180920  -0.350819  -0.545844  0.096895  -0.020666  9.722662  32.77  0.000  0.000  0.000  
193  -0.294784  -0.328497  -0.568331  0.104835  -0.010539  9.725448  32.77  0.000  0.000  0.000  
194  -0.204145  -0.321005  -0.515080  0.099954  -0.017088  9.723971  32.79  0.000  0.000  0.000  
195  -0.248899  -0.366440  -0.561274  0.095277  -0.005604  9.728518  32.79  0.000  0.000  0.000  
196  -0.256987  -0.328140  -0.568179  0.100085  -0.006864  9.727694  32.79  0.000  0.000  0.000  
197  -0.196146  -0.372679  -0.606112  0.092911  -0.012257  9.723141  32.79  0.000  0.000  0.000  
198  -0.189144  -0.328327  -0.522419  0.086861  -0.016535  9.714830  32.79  0.000  0.000  0.000  
199  -0.157716  -0.372570  -0.599204  0.086096  -0.020528  9.724106  32.80  0.000  0.000  0.000  
200  -0.180330  -0.395392  -0.614464  0.091627  -0.011163  9.716964  32.80  0.000  0.000  0.000  
201  -0.226028  -0.405403  -0.508640  0.098927  -0.003139  9.703015  32.80  0.000  0.000  0.000  
202  -0.210620  -0.397106  -0.539102  0.094015  -0.008240  9.714767  32.80  0.000  0.000  0.000  
203  -0.166238  -0.343981  -0.492446  0.089276  -0.010568  9.715678  32.80  0.000  0.000  0.000  
204  -0.309193  -0.382154  -0.569287  0.107236  -0.005673  9.731161  32.79  0.000  0.000  0.000  
205  -0.241519  -0.359429  -0.523310  0.099390  -0.014249  9.715889  32.79  0.000  0.000  0.000  
206  -0.196086  -0.342033  -0.613719  0.118503  -0.016063  9.724840  32.79  0.000  0.000  0.000  
207  -0.180826  -0.357313  -0.606297  0.103579  -0.012820  9.730431  32.79  0.000  0.000  0.000  
208  -0.249103  -0.366837  -0.538395  0.084515  -0.009142  9.725332  32.79  0.000  0.000  0.000  
209  -0.225869  -0.374056  -0.554079  0.096416  -0.005196  9.719023  32.79  0.000  0.000  0.000  
210  -0.241830  -0.321093  -0.530455  0.104753  -0.011924  9.746724  32.79  0.000  0.000  0.000  
211  -0.249913  -0.312445  -0.582628  0.098936  -0.010317  9.734163  32.79  0.000  0.000  0.000  
212  -0.248968  -0.351029  -0.568726  0.107169  -0.012703  9.707016  32.79  0.000  0.000  0.000  
213  -0.264215  -0.336182  -0.553539  0.093988  -0.012310  9.720701  32.79  0.000  0.000  0.000  
214  -0.241469  -0.343176  -0.576160  0.099492  -0.000072  9.738881  32.78  0.000  0.000  0.000  
215  -0.204057  -0.366500  -0.530287  0.096009  -0.002668  9.726428  32.78  0.000  0.000  0.000  
216  -0.158565  -0.350264  -0.560436  0.103691  -0.007728  9.715614  32.78  0.000  0.000  0.000  
217  -0.234193  -0.344062  -0.522985  0.102388  -0.015547  9.712076  32.78  0.000  0.000  0.000  
218  -0.233933  -0.326839  -0.628889  0.094695  -0.002731  9.722172  32.78  0.000  0.000  0.000  
219  -0.211393  -0.327607  -0.575834  0.103678  -0.001681  9.719289  32.78  0.000  0.000  0.000  
220  -0.248871  -0.373929  -0.568852  0.104242  -0.009653  9.708853  32.78  0.000  0.000  0.000  
221  -0.227122  -0.313542  -0.514799  0.091210  -0.002197  9.685711  32.78  0.000  0.000  0.000  
222  -0.157752  -0.387677  -0.606705  0.099397  -0.011115  9.723594  32.78  0.000  0.000  0.000  
223  -0.218715  -0.359379  -0.515832  0.104797  -0.006841  9.731249  32.78  0.000  0.000  0.000  
224  -0.242189  -0.305634  -0.537547  0.097034  -0.012736  9.731471  32.78  0.000  0.000  0.000  
225  -0.264100  -0.350739  -0.591395  0.106541  -0.016667  9.718197  32.78  0.000  0.000  0.000  
226  -0.226718  -0.319944  -0.583179  0.117935  -0.014137  9.731584  32.78  0.000  0.000  0.000  
227  -0.270778  -0.435439  -0.562375  0.092249  -0.008809  9.715437  32.78  0.000  0.000  0.000  
228  -0.256527  -0.351100  -0.568756  0.107744  -0.013533  9.726516  32.78  0.000  0.000  0.000  
229  -0.234025  -0.358772  -0.553365  0.112010  -0.010585  9.726799  32.78  0.000  0.000  0.000  
230  -0.211199  -0.373407  -0.576087  0.097721  -0.005639  9.728051  32.78  0.000  0.000  0.000  
231  -0.241663  -0.366028  -0.575927  0.103149  -0.005252  9.719944  32.78  0.000  0.000  0.000  
232  -0.241207  -0.365960  -0.584033  0.103527  -0.015641  9.739063  32.78  0.000  0.000  0.000  
233  -0.166650  -0.328369  -0.507015  0.104258  -0.013446  9.729464  32.78  0.000  0.000  0.000  
234  -0.128224  -0.373884  -0.507657  0.103078  -0.008780  9.722803  32.80  0.000  0.000  0.000  
235  -0.272350  -0.328960  -0.530229  0.108454  -0.011247  9.721575  32.80  0.000  0.000  0.000  
236  -0.226771  -0.321371  -0.507695  0.104667  -0.022460  9.726665  32.80  0.000  0.000  0.000  
237  -0.203576  -0.327291  -0.591206  0.099910  -0.013975  9.730450  32.80  0.000  0.000  0.000  
238  -0.173296  -0.373355  -0.560983  0.102458  -0.006831  9.730659  32.80  0.000  0.000  0.000  
239  -0.233617  -0.388203  -0.614215  0.085807  -0.001489  9.720079  32.79  0.000  0.000  0.000  
240  -0.242336  -0.295828  -0.650490  0.103117  -0.011760  9.723343  32.79  0.000  0.000  0.000  
241  -0.218470  -0.397129  -0.538772  0.097755  0.001576  9.730408  32.79  0.000  0.000  0.000  
242  -0.249012  -0.356926  -0.659175  0.100043  -0.015381  9.719674  32.79  0.000  0.000  0.000  
243  -0.271457  -0.374015  -0.576600  0.088741  -0.002179  9.716682  32.79  0.000  0.000  0.000  
244  -0.211276  -0.350367  -0.583527  0.094048  -0.011031  9.725250  32.79  0.000  0.000  0.000  
245  -0.189167  -0.343866  -0.507310  0.095254  -0.018536  9.708340  32.79  0.000  0.000  0.000  
246  -0.211448  -0.351056  -0.545605  0.113145  -0.017259  9.722003  32.79  0.000  0.000  0.000  
247  -0.204770  -0.296581  -0.589718  0.106190  -0.006044  9.711396  32.79  0.000  0.000  0.000  
248  -0.272805  -0.298804  -0.507031  0.106044  -0.013992  9.733110  32.79  0.000  0.000  0.000  
249  -0.279957  -0.321683  -0.515114  0.097603  -0.019076  9.712549  32.80  0.000  0.000  0.000  
250  -0.248922  -0.413784  -0.478298  0.086890  -0.013013  9.743041  32.80  0.000  0.000  0.000  
251  -0.189100  -0.351075  -0.530022  0.092929  -0.013065  9.712141  32.80  0.000  0.000  0.000  
252  -0.211817  -0.319765  -0.582848  0.110984  0.003909  9.734518  32.80  0.000  0.000  0.000  
253  -0.218666  -0.373351  -0.583774  0.095335  -0.004007  9.718335  32.80  0.000  0.000  0.000  
254  -0.211485  -0.327735  -0.568177  0.097077  -0.005014  9.729055  32.79  0.000  0.000  0.000  
255  -0.287588  -0.328366  -0.567851  0.098891  -0.015115  9.733152  32.79  0.000  0.000  0.000  
256  -0.188720  -0.366394  -0.530496  0.101358  0.000594  9.743588  32.79  0.000  0.000  0.000  
257  -0.196815  -0.298442  -0.492134  0.103568  -0.011472  9.738413  32.79  0.000  0.000  0.000  
258  -0.226288  -0.389242  -0.553563  0.098965  -0.003480  9.716617  32.79  0.000  0.000  0.000  
259  -0.219329  -0.358990  -0.530155  0.099569  -0.007512  9.724941  32.80  0.000  0.000  0.000  
260  -0.280455  -0.305626  -0.552201  0.106174  -0.008127  9.727578  32.80  0.000  0.000  0.000  
261  -0.219431  -0.343286  -0.552650  0.103182  -0.004423  9.732169  32.80  0.000  0.000  0.000  
