Index  OmegaX[°/s]  OmegaY[°/s]  OmegaZ[°/s]  fX[m/s/s]  fY[m/s/s]  fZ[m/s/s]  Temperature[°C]  Roll[°]  Pitch[°]  Heading[°]  
2  -0.263203  -0.343547  -0.577420  0.104523  -0.011739  9.755836  0.00  0.000  0.000  0.000  
3  -0.255782  -0.344457  -0.524425  0.105831  -0.002004  9.734404  0.00  0.000  0.000  0.000  
4  -0.247471  -0.374018  -0.578128  0.087741  -0.010214  9.732836  32.74  0.000  0.000  0.000  
5  -0.270717  -0.344344  -0.539799  0.099859  -0.000187  9.701092  32.74  0.000  0.000  0.000  
6  -0.112187  -0.342807  -0.538892  0.087266  -0.007455  9.720753  32.74  0.000  0.000  0.000  
7  -0.247014  -0.450805  -0.556092  0.108162  -0.007916  9.738902  32.74  0.000  0.000  0.000  
8  -0.225279  -0.389984  -0.524647  0.098676  -0.006440  9.717383  32.74  0.000  0.000  0.000  
9  -0.233344  -0.336145  -0.546661  0.101082  -0.003006  9.742127  32.75  0.000  0.000  0.000  
10  -0.262833  -0.413266  -0.525106  0.093893  -0.007190  9.706828  32.75  0.000  0.000  0.000  
11  -0.173198  -0.305581  -0.515834  0.080736  -0.004459  9.717801  32.75  0.000  0.000  0.000  
12  -0.232870  -0.359538  -0.524629  0.102136  -0.010859  9.738028  32.75  0.000  0.000  0.000  
13  -0.247874  -0.375818  -0.479586  0.093772  -0.011568  9.696272  32.75  0.000  0.000  0.000  
14  -0.232902  -0.365868  -0.592468  0.098653  -0.006479  9.746717  32.74  0.000  0.000  0.000  
15  -0.278574  -0.375165  -0.524386  0.096349  -0.004476  9.725288  32.74  0.000  0.000  0.000  
16  -0.322966  -0.472908  -0.631376  0.111327  -0.009030  9.745219  32.74  0.000  0.000  0.000  
17  -0.262536  -0.412740  -0.555641  0.104528  -0.013465  9.727951  32.74  0.000  0.000  0.000  
18  -0.218798  -0.274882  -0.545873  0.104542  -0.015163  9.732945  32.74  0.000  0.000  0.000  
19  -0.293579  -0.344815  -0.524577  0.086704  -0.002884  9.709448  32.75  0.000  0.000  0.000  
20  -0.217923  -0.358505  -0.569606  0.105692  -0.020964  9.742697  32.75  0.000  0.000  0.000  
21  -0.209910  -0.380387  -0.622937  0.103437  -0.007081  9.717578  32.75  0.000  0.000  0.000  
22  -0.263391  -0.327398  -0.622434  0.088942  -0.021945  9.713690  32.75  0.000  0.000  0.000  
23  -0.180018  -0.334851  -0.592207  0.097480  -0.000008  9.709238  32.75  0.000  0.000  0.000  
24  -0.202468  -0.357556  -0.615214  0.097420  -0.006956  9.720898  32.74  0.000  0.000  0.000  
25  -0.150472  -0.342940  -0.545980  0.104116  -0.008709  9.726758  32.74  0.000  0.000  0.000  
26  -0.195191  -0.366646  -0.531876  0.099207  -0.011906  9.712952  32.74  0.000  0.000  0.000  
27  -0.278523  -0.328687  -0.562144  0.101610  -0.007118  9.714571  32.74  0.000  0.000  0.000  
28  -0.195271  -0.327200  -0.599642  0.092732  0.001768  9.705933  32.74  0.000  0.000  0.000  
29  -0.263584  -0.321605  -0.524149  0.093210  -0.009265  9.722919  32.74  0.000  0.000  0.000  
30  -0.195466  -0.343429  -0.546612  0.100480  -0.005995  9.710318  32.74  0.000  0.000  0.000  
31  -0.149584  -0.396770  -0.532013  0.092598  -0.015756  9.726906  32.74  0.000  0.000  0.000  
32  -0.225829  -0.343550  -0.554120  0.099842  -0.013004  9.718472  32.74  0.000  0.000  0.000  
33  -0.194640  -0.381275  -0.570272  0.094976  -0.007923  9.731514  32.74  0.000  0.000  0.000  
34  -0.209705  -0.419998  -0.547785  0.100366  -0.013877  9.735578  32.74  0.000  0.000  0.000  
35  -0.218002  -0.359066  -0.539341  0.090158  -0.021261  9.718910  32.74  0.000  0.000  0.000  
36  -0.225382  -0.366077  -0.577305  0.089078  -0.008508  9.729210  32.74  0.000  0.000  0.000  
37  -0.241053  -0.313163  -0.554041  0.093214  -0.011414  9.735610  32.74  0.000  0.000  0.000  
38  -0.247315  -0.428301  -0.533086  0.096692  -0.019224  9.735116  32.74  0.000  0.000  0.000  
39  -0.172557  -0.373908  -0.539273  0.092016  -0.015718  9.728665  32.74  0.000  0.000  0.000  
40  -0.195940  -0.313412  -0.515848  0.103524  -0.000936  9.726630  32.74  0.000  0.000  0.000  
41  -0.217389  -0.388100  -0.623070  0.113021  -0.004567  9.729145  32.74  0.000  0.000  0.000  
42  -0.247220  -0.442999  -0.563376  0.098613  -0.011249  9.715768  32.74  0.000  0.000  0.000  
43  -0.225599  -0.335817  -0.561944  0.099283  -0.000795  9.731730  32.74  0.000  0.000  0.000  
44  -0.240944  -0.328294  -0.561722  0.087304  -0.006771  9.725376  32.75  0.000  0.000  0.000  
45  -0.165754  -0.319597  -0.575999  0.087954  -0.010375  9.724874  32.75  0.000  0.000  0.000  
46  -0.210989  -0.337169  -0.478293  0.114186  -0.012111  9.741551  32.75  0.000  0.000  0.000  
47  -0.188318  -0.327746  -0.561150  0.112500  -0.006595  9.716638  32.75  0.000  0.000  0.000  
48  -0.256287  -0.328974  -0.531337  0.096196  -0.018163  9.727991  32.75  0.000  0.000  0.000  
49  -0.180540  -0.366138  -0.546318  0.102250  -0.017604  9.729295  32.76  0.000  0.000  0.000  
50  -0.278266  -0.358668  -0.592638  0.097381  -0.013993  9.727900  32.76  0.000  0.000  0.000  
51  -0.202112  -0.388415  -0.600580  0.089629  -0.006096  9.730534  32.76  0.000  0.000  0.000  
52  -0.210428  -0.366051  -0.569498  0.102881  -0.007538  9.724731  32.76  0.000  0.000  0.000  
53  -0.241174  -0.367832  -0.486030  0.096364  -0.008802  9.717807  32.76  0.000  0.000  0.000  
54  -0.211086  -0.312689  -0.561127  0.099872  -0.010277  9.736250  32.77  0.000  0.000  0.000  
55  -0.172687  -0.350715  -0.554189  0.101716  -0.001008  9.721887  32.77  0.000  0.000  0.000  
56  -0.195012  -0.365383  -0.599973  0.108252  -0.004215  9.713725  32.77  0.000  0.000  0.000  
57  -0.157523  -0.343095  -0.546640  0.097357  -0.015339  9.719879  32.77  0.000  0.000  0.000  
58  -0.233019  -0.344688  -0.501815  0.104014  -0.003138  9.705172  32.77  0.000  0.000  0.000  
59  -0.134957  -0.343150  -0.531326  0.105193  -0.011356  9.713595  32.74  0.000  0.000  0.000  
60  -0.173373  -0.320089  -0.553331  0.115412  -0.016132  9.719387  32.74  0.000  0.000  0.000  
61  -0.233472  -0.351379  -0.546506  0.086806  -0.003082  9.730728  32.74  0.000  0.000  0.000  
62  -0.210873  -0.319922  -0.584018  0.089771  -0.003399  9.715560  32.74  0.000  0.000  0.000  
63  -0.172738  -0.358766  -0.531503  0.108184  -0.014241  9.720607  32.74  0.000  0.000  0.000  
64  -0.202482  -0.388928  -0.569955  0.096159  -0.018062  9.733217  32.76  0.000  0.000  0.000  
65  -0.171860  -0.426989  -0.562778  0.086137  -0.004578  9.714447  32.76  0.000  0.000  0.000  
66  -0.241111  -0.352012  -0.516271  0.102324  -0.006971  9.722906  32.76  0.000  0.000  0.000  
67  -0.165721  -0.319890  -0.560957  0.105348  -0.005736  9.695216  32.76  0.000  0.000  0.000  
68  -0.248118  -0.373336  -0.607494  0.095600  -0.019227  9.734614  32.76  0.000  0.000  0.000  
69  -0.255576  -0.389111  -0.585030  0.097356  -0.023524  9.729462  32.76  0.000  0.000  0.000  
70  -0.210282  -0.374278  -0.539515  0.098039  -0.010670  9.714509  32.76  0.000  0.000  0.000  
71  -0.209843  -0.389176  -0.562689  0.088978  -0.012454  9.741500  32.76  0.000  0.000  0.000  
72  -0.226392  -0.298263  -0.523241  0.110731  -0.000677  9.712701  32.76  0.000  0.000  0.000  
73  -0.301217  -0.352071  -0.547139  0.092762  0.000920  9.724304  32.76  0.000  0.000  0.000  
74  -0.233652  -0.312635  -0.576440  0.099909  -0.005745  9.723207  32.75  0.000  0.000  0.000  
75  -0.263120  -0.397818  -0.532288  0.100275  -0.029664  9.722260  32.75  0.000  0.000  0.000  
76  -0.210160  -0.389841  -0.524587  0.108318  0.001267  9.719342  32.75  0.000  0.000  0.000  
77  -0.270623  -0.382643  -0.532384  0.109982  -0.010806  9.713624  32.75  0.000  0.000  0.000  
78  -0.263811  -0.344164  -0.538959  0.103446  -0.015577  9.710787  32.75  0.000  0.000  0.000  
79  -0.233600  -0.304585  -0.599127  0.091516  -0.006316  9.720145  32.77  0.000  0.000  0.000  
80  -0.264173  -0.313879  -0.523417  0.099329  -0.006776  9.731604  32.77  0.000  0.000  0.000  
81  -0.241378  -0.336424  -0.531019  0.103486  -0.014175  9.721750  32.77  0.000  0.000  0.000  
82  -0.187746  -0.350437  -0.576949  0.104509  -0.020580  9.730876  32.77  0.000  0.000  0.000  
83  -0.233814  -0.329157  -0.508368  0.093897  -0.011400  9.736889  32.77  0.000  0.000  0.000  
84  -0.308924  -0.405945  -0.524376  0.097490  -0.021345  9.718677  32.77  0.000  0.000  0.000  
85  -0.202907  -0.374463  -0.524172  0.095112  -0.006073  9.734876  32.77  0.000  0.000  0.000  
86  -0.232307  -0.435050  -0.570599  0.097310  -0.025477  9.720930  32.77  0.000  0.000  0.000  
87  -0.226074  -0.336025  -0.546271  0.092667  -0.016543  9.717133  32.77  0.000  0.000  0.000  
88  -0.233140  -0.397777  -0.516764  0.102883  -0.011453  9.738889  32.77  0.000  0.000  0.000  
89  -0.255470  -0.389416  -0.570077  0.095126  -0.002354  9.741902  32.77  0.000  0.000  0.000  
90  -0.195960  -0.311973  -0.591241  0.102320  -0.006849  9.729340  32.77  0.000  0.000  0.000  
91  -0.172005  -0.395161  -0.630466  0.094527  -0.001323  9.732909  32.77  0.000  0.000  0.000  
92  -0.240989  -0.365996  -0.584303  0.095736  -0.013540  9.719724  32.77  0.000  0.000  0.000  
93  -0.225679  -0.365023  -0.629730  0.095739  -0.010261  9.735032  32.77  0.000  0.000  0.000  
94  -0.225592  -0.373671  -0.577048  0.101070  -0.012927  9.723220  32.77  0.000  0.000  0.000  
95  -0.248274  -0.390864  -0.486637  0.106373  -0.018845  9.728946  32.77  0.000  0.000  0.000  
96  -0.248571  -0.351382  -0.554133  0.098617  -0.018771  9.728768  32.77  0.000  0.000  0.000  
97  -0.225608  -0.358412  -0.577023  0.099326  -0.005422  9.708478  32.77  0.000  0.000  0.000  
98  -0.249377  -0.281591  -0.605907  0.095190  -0.008151  9.720042  32.77  0.000  0.000  0.000  
99  -0.196156  -0.289774  -0.553283  0.096215  -0.017194  9.716108  32.77  0.000  0.000  0.000  
100  -0.240950  -0.365715  -0.599435  0.097566  -0.009232  9.727306  32.77  0.000  0.000  0.000  
101  -0.211163  -0.321453  -0.500698  0.093366  -0.003907  9.722196  32.77  0.000  0.000  0.000  
