Index  OmegaX[°/s]  OmegaY[°/s]  OmegaZ[°/s]  fX[m/s/s]  fY[m/s/s]  fZ[m/s/s]  Temperature[°C]  Roll[°]  Pitch[°]  Heading[°]  
2  -0.233983  -0.361227  -0.571474  0.098152  -0.012210  9.714831  0.00  0.000  0.000  0.000  
3  -0.197447  -0.231875  -0.501565  0.100372  -0.028022  9.740911  0.00  0.000  0.000  0.000  
4  -0.317574  -0.339908  -0.533643  0.098567  -0.028251  9.748405  0.00  0.000  0.000  0.000  
5  -0.271998  -0.363128  -0.488395  0.104555  -0.029400  9.725295  0.00  0.000  0.000  0.000  
6  -0.226814  -0.315773  -0.533051  0.105234  -0.019578  9.744955  33.17  0.000  0.000  0.000  
7  -0.242039  -0.339614  -0.510640  0.108660  -0.036987  9.734173  33.17  0.000  0.000  0.000  
8  -0.219419  -0.301003  -0.495010  0.099726  -0.031985  9.752073  33.17  0.000  0.000  0.000  
9  -0.234898  -0.300308  -0.578143  0.098618  -0.022722  9.751001  33.17  0.000  0.000  0.000  
10  -0.234547  -0.315940  -0.540595  0.105132  -0.031070  9.732022  33.17  0.000  0.000  0.000  
11  -0.249973  -0.277758  -0.540171  0.107516  -0.032447  9.726459  33.17  0.000  0.000  0.000  
12  -0.249869  -0.301664  -0.487513  0.109940  -0.028807  9.730641  33.17  0.000  0.000  0.000  
13  -0.242303  -0.355649  -0.495607  0.107426  -0.040244  9.739809  33.17  0.000  0.000  0.000  
14  -0.227361  -0.300961  -0.532741  0.106772  -0.045641  9.746594  33.17  0.000  0.000  0.000  
15  -0.340593  -0.317900  -0.495595  0.096708  -0.034763  9.750551  33.17  0.000  0.000  0.000  
16  -0.219037  -0.331147  -0.518118  0.110550  -0.026177  9.749076  33.18  0.000  0.000  0.000  
17  -0.272767  -0.325251  -0.495346  0.105655  -0.036304  9.760299  33.18  0.000  0.000  0.000  
18  -0.189832  -0.309020  -0.509914  0.100396  -0.026059  9.728040  33.18  0.000  0.000  0.000  
19  -0.287801  -0.340655  -0.503151  0.108134  -0.028889  9.740397  33.18  0.000  0.000  0.000  
20  -0.242144  -0.324494  -0.495329  0.097446  -0.023632  9.710733  33.18  0.000  0.000  0.000  
21  -0.257236  -0.331532  -0.548404  0.094420  -0.025471  9.732591  33.17  0.000  0.000  0.000  
22  -0.280464  -0.317519  -0.510380  0.101420  -0.042470  9.745293  33.17  0.000  0.000  0.000  
23  -0.219394  -0.346716  -0.540864  0.103367  -0.027137  9.741245  33.17  0.000  0.000  0.000  
24  -0.241994  -0.355155  -0.503252  0.089513  -0.037933  9.734421  33.17  0.000  0.000  0.000  
25  -0.258138  -0.263438  -0.517192  0.101658  -0.018882  9.734635  33.17  0.000  0.000  0.000  
26  -0.212871  -0.287152  -0.464300  0.111127  -0.027471  9.753738  33.18  0.000  0.000  0.000  
27  -0.302658  -0.316560  -0.548408  0.118876  -0.030839  9.748707  33.18  0.000  0.000  0.000  
28  -0.241713  -0.339564  -0.488046  0.115895  -0.028950  9.763129  33.18  0.000  0.000  0.000  
29  -0.235720  -0.239856  -0.547034  0.100470  -0.017505  9.740813  33.18  0.000  0.000  0.000  
30  -0.212531  -0.318161  -0.434470  0.109325  -0.029581  9.738805  33.18  0.000  0.000  0.000  
31  -0.197656  -0.286891  -0.464266  0.109859  -0.035364  9.749106  33.18  0.000  0.000  0.000  
32  -0.256867  -0.385841  -0.511262  0.090202  -0.029065  9.727155  33.18  0.000  0.000  0.000  
33  -0.363043  -0.348214  -0.533874  0.113464  -0.034426  9.740277  33.18  0.000  0.000  0.000  
34  -0.249029  -0.323742  -0.495543  0.103275  -0.037223  9.740781  33.18  0.000  0.000  0.000  
35  -0.279926  -0.364114  -0.458082  0.102720  -0.032614  9.735633  33.18  0.000  0.000  0.000  
36  -0.250117  -0.309940  -0.472404  0.113496  -0.031588  9.735173  33.18  0.000  0.000  0.000  
37  -0.295213  -0.324950  -0.510622  0.101515  -0.031569  9.761281  33.18  0.000  0.000  0.000  
38  -0.182249  -0.278192  -0.494447  0.114149  -0.027921  9.711184  33.18  0.000  0.000  0.000  
39  -0.235595  -0.271825  -0.471779  0.105818  -0.021948  9.729903  33.18  0.000  0.000  0.000  
40  -0.197934  -0.271866  -0.456469  0.099743  -0.032883  9.714425  33.18  0.000  0.000  0.000  
41  -0.190012  -0.302080  -0.471980  0.095562  -0.031452  9.724661  33.19  0.000  0.000  0.000  
42  -0.242164  -0.371656  -0.450440  0.108660  -0.036822  9.734641  33.19  0.000  0.000  0.000  
43  -0.310267  -0.340493  -0.510861  0.100863  -0.037623  9.753969  33.19  0.000  0.000  0.000  
44  -0.167678  -0.310259  -0.456754  0.097929  -0.033597  9.727861  33.19  0.000  0.000  0.000  
45  -0.249480  -0.385865  -0.518745  0.097937  -0.030941  9.752794  33.19  0.000  0.000  0.000  
46  -0.227782  -0.262311  -0.562469  0.103375  -0.024265  9.766606  33.19  0.000  0.000  0.000  
47  -0.234566  -0.316080  -0.533028  0.100348  -0.029466  9.751015  33.19  0.000  0.000  0.000  
48  -0.235478  -0.309802  -0.510017  0.099144  -0.030359  9.744427  33.19  0.000  0.000  0.000  
49  -0.197114  -0.324116  -0.517741  0.105251  -0.017462  9.745613  33.19  0.000  0.000  0.000  
50  -0.243724  -0.287841  -0.486937  0.104512  -0.032104  9.738837  33.19  0.000  0.000  0.000  
51  -0.166785  -0.324880  -0.442035  0.095446  -0.041237  9.755053  33.21  0.000  0.000  0.000  
52  -0.212573  -0.293249  -0.547632  0.099744  -0.028231  9.770597  33.21  0.000  0.000  0.000  
53  -0.151682  -0.315507  -0.540182  0.102776  -0.026558  9.739967  33.21  0.000  0.000  0.000  
54  -0.220278  -0.317300  -0.510059  0.119434  -0.035485  9.736912  33.21  0.000  0.000  0.000  
55  -0.197815  -0.271024  -0.501867  0.106378  -0.025388  9.735116  33.21  0.000  0.000  0.000  
56  -0.228085  -0.295615  -0.434172  0.111679  -0.032997  9.743439  33.19  0.000  0.000  0.000  
57  -0.265191  -0.278602  -0.502400  0.113529  -0.027316  9.748091  33.19  0.000  0.000  0.000  
58  -0.243113  -0.309851  -0.517588  0.096931  -0.012506  9.736861  33.19  0.000  0.000  0.000  
59  -0.212237  -0.316640  -0.510160  0.098102  -0.015151  9.740420  33.19  0.000  0.000  0.000  
60  -0.219397  -0.347300  -0.503059  0.098533  -0.031796  9.747755  33.19  0.000  0.000  0.000  
61  -0.204550  -0.377985  -0.533489  0.106862  -0.036438  9.740250  33.18  0.000  0.000  0.000  
62  -0.152214  -0.339957  -0.502474  0.109895  -0.032291  9.737297  33.18  0.000  0.000  0.000  
63  -0.204594  -0.323626  -0.548037  0.094911  -0.034481  9.756239  33.18  0.000  0.000  0.000  
64  -0.242905  -0.301856  -0.517564  0.103292  -0.033975  9.750431  33.18  0.000  0.000  0.000  
65  -0.220394  -0.317558  -0.502466  0.103888  -0.036888  9.715026  33.18  0.000  0.000  0.000  
66  -0.227825  -0.293207  -0.570339  0.110493  -0.032472  9.736259  33.20  0.000  0.000  0.000  
67  -0.227928  -0.286290  -0.524866  0.109372  -0.023166  9.756513  33.20  0.000  0.000  0.000  
68  -0.175353  -0.263567  -0.486515  0.104087  -0.016006  9.721832  33.20  0.000  0.000  0.000  
69  -0.197514  -0.302314  -0.456904  0.099790  -0.027396  9.722986  33.20  0.000  0.000  0.000  
70  -0.235714  -0.302699  -0.487190  0.099881  -0.016737  9.735833  33.20  0.000  0.000  0.000  
71  -0.213037  -0.311271  -0.419130  0.104439  -0.039389  9.743617  33.20  0.000  0.000  0.000  
72  -0.190082  -0.317879  -0.456999  0.093645  -0.042271  9.746188  33.20  0.000  0.000  0.000  
73  -0.295849  -0.334280  -0.457602  0.109939  -0.028324  9.731461  33.20  0.000  0.000  0.000  
74  -0.182871  -0.309795  -0.502160  0.111193  -0.020657  9.750144  33.20  0.000  0.000  0.000  
75  -0.243196  -0.294006  -0.547649  0.104006  -0.023462  9.729942  33.20  0.000  0.000  0.000  
76  -0.273348  -0.279521  -0.494706  0.099258  -0.020048  9.729419  33.20  0.000  0.000  0.000  
77  -0.288652  -0.303923  -0.442030  0.099039  -0.041102  9.744929  33.20  0.000  0.000  0.000  
78  -0.204249  -0.332222  -0.465041  0.099114  -0.034538  9.737731  33.20  0.000  0.000  0.000  
