Index  OmegaX[°/s]  OmegaY[°/s]  OmegaZ[°/s]  fX[m/s/s]  fY[m/s/s]  fZ[m/s/s]  Temperature[°C]  Roll[°]  Pitch[°]  Heading[°]  
2  -0.321237  -0.316204  -0.533205  0.075179  0.069295  9.719464  0.00  0.000  0.000  0.000  
3  -0.230345  -0.354091  -0.502906  0.066938  0.079610  9.723559  0.00  0.000  0.000  0.000  
4  -0.298124  -0.346287  -0.548745  0.069661  0.060596  9.761735  0.00  0.000  0.000  0.000  
5  -0.298203  -0.346848  -0.518480  0.069721  0.063391  9.720240  29.17  0.000  0.000  0.000  
6  -0.238230  -0.307191  -0.562854  0.083466  0.058916  9.743610  29.17  0.000  0.000  0.000  
7  -0.282580  -0.392413  -0.526599  0.080049  0.079263  9.712139  29.17  0.000  0.000  0.000  
8  -0.184773  -0.377300  -0.465289  0.077586  0.067769  9.703354  29.17  0.000  0.000  0.000  
9  -0.230083  -0.376875  -0.510780  0.073903  0.060421  9.754880  29.17  0.000  0.000  0.000  
10  -0.237753  -0.383838  -0.548384  0.067378  0.053964  9.694801  29.18  0.000  0.000  0.000  
11  -0.238155  -0.323609  -0.502618  0.079330  0.064656  9.729105  29.18  0.000  0.000  0.000  
12  -0.320539  -0.377488  -0.526546  0.074554  0.068816  9.725372  29.18  0.000  0.000  0.000  
13  -0.177699  -0.291373  -0.562677  0.073370  0.068450  9.705457  29.18  0.000  0.000  0.000  
14  -0.237433  -0.369353  -0.511067  0.080527  0.070769  9.736922  29.18  0.000  0.000  0.000  
15  -0.260617  -0.345881  -0.548234  0.073886  0.054482  9.725323  29.17  0.000  0.000  0.000  
16  -0.327855  -0.370259  -0.511791  0.080439  0.067482  9.720937  29.17  0.000  0.000  0.000  
17  -0.313184  -0.377813  -0.503637  0.071466  0.055852  9.733226  29.17  0.000  0.000  0.000  
18  -0.365356  -0.430541  -0.572662  0.067892  0.057022  9.730025  29.17  0.000  0.000  0.000  
19  -0.336203  -0.354225  -0.548549  0.074033  0.067562  9.722128  29.17  0.000  0.000  0.000  
20  -0.373012  -0.446139  -0.557494  0.073374  0.060905  9.717286  29.19  0.000  0.000  0.000  
21  -0.260535  -0.361726  -0.518173  0.061505  0.070104  9.692084  29.19  0.000  0.000  0.000  
